,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,109,132,4894,92,6650,16926,42694,7909
1,0.002,104,597,3901,94,9307,18664,171360,7336
2,0.005,257,2678,4819,91,7128,19639,173048,9547
3,0.01,416,3250,4819,108,6215,16511,170409,173583
4,0.02,594,4523,1580,152,7895,14806,13884,174709
5,0.05,1194,3309,1574,284,8384,8175,12820,169888
6,0.1,1906,3637,1576,446,7362,6284,7316,12907
7,0.2,2044,3486,1912,715,7142,5653,2289,7368
8,0.5,3275,4318,2390,1274,6847,3343,4894,1814
9,1.0,5647,4244,2705,1904,5326,3028,4894,4894
10,5.0,5031,7333,4903,3524,2341,842,4894,4894
11,10.0,5246,7812,5448,4414,1534,467,4894,4894
12,20.0,6842,6354,5614,5202,800,258,4894,4894
13,50.0,7672,7066,5751,5619,361,108,4894,4894
14,100.0,7657,7089,5843,5819,174,95,4894,4894
15,200.0,7657,7066,5890,5931,110,91,4894,4894
16,500.0,8847,7064,5867,6023,91,4894,4894,4894
17,1000.0,8862,7066,5908,6044,96,4894,4894,4894
18,2000.0,8862,7066,5887,6068,4894,367179,4894,4894
19,5000.0,8854,7064,5911,6081,367179,367179,4894,4894
