,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,1205,4266,80003,1237,64901,74490,80632,81606
1,0.002,1527,9032,80003,1335,66308,67644,83637,81819
2,0.005,39230,28048,76337,1560,68802,62655,78145,80021
3,0.01,76452,80484,76337,1864,67591,68202,77809,78091
4,0.02,76469,80340,76337,3291,66421,66956,78063,78091
5,0.05,76470,77503,76351,12800,66189,73843,76399,78054
6,0.1,76470,76752,76689,30462,66413,65690,76341,77155
7,0.2,76469,77105,77261,48284,63320,66074,76377,76346
8,0.5,76950,80667,78143,63640,64706,71819,364190,76341
9,1.0,83433,79553,74365,68510,70079,74679,364190,364190
10,5.0,80520,81396,63447,71097,74585,57021,364190,364190
11,10.0,79797,80731,62094,68557,69477,40493,364190,364190
12,20.0,80291,88077,60666,65913,61742,16060,364190,364190
13,50.0,84683,64916,59921,62982,34792,2777,364190,364190
14,100.0,83529,66530,60035,62366,11366,1648,364190,364190
15,200.0,83529,63755,59488,61570,2957,1361,364190,364190
16,500.0,83533,63641,59988,61906,1547,1047,364190,364190
17,1000.0,83528,65855,59265,61746,1310,874,364190,364190
18,2000.0,83532,61936,59510,61494,1047,364190,364190,364190
19,5000.0,83526,60243,61154,61425,2622,2622,364190,364190
